City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sangar,RU,2022-11-10 22:54:37,63.9242,127.4739,254.23,95,100,5.75
59,Iquique,CL,2022-11-10 22:54:37,-20.2208,-70.1431,292.17,78,35,0.46
60,Barcelona,ES,2022-11-10 22:49:49,41.3888,2.159,290.12,77,20,2.06
61,Soubre,CI,2022-11-10 22:54:38,5.7856,-6.6083,295.99,96,96,1.29
62,Arraial Do Cabo,BR,2022-11-10 22:54:38,-22.9661,-42.0278,297.13,83,40,2.57
63,Comodoro Rivadavia,AR,2022-11-10 22:54:38,-45.8667,-67.5,285.07,82,75,3.6
64,Ituiutaba,BR,2022-11-10 22:52:13,-18.9689,-49.465,298.57,58,45,3.33
65,Mpika,ZM,2022-11-10 22:54:39,-11.8343,31.4529,289.64,92,100,2.02
66,Yerofey Pavlovich,RU,2022-11-10 22:54:39,53.9667,121.9667,261.26,89,86,0.96
67,Misasi,TZ,2022-11-10 22:54:39,-3.0,33.0833,294.16,78,96,1.71
68,Atuona,PF,2022-11-10 22:54:40,-9.8,-139.0333,298.67,79,9,4.83
69,Mahebourg,MU,2022-11-10 22:54:40,-20.4081,57.7,296.31,78,40,1.54
70,Conakry,GN,2022-11-10 22:51:29,9.538,-13.6773,301.19,83,40,2.06
71,Araouane,ML,2022-11-10 22:54:40,18.9048,-3.5265,296.83,11,0,2.67
72,Hokitika,NZ,2022-11-10 22:54:41,-42.7167,170.9667,290.6,47,99,3.01
73,Salinas,US,2022-11-10 22:54:41,36.6777,-121.6555,290.37,53,0,1.85
74,Castro,BR,2022-11-10 22:54:41,-24.7911,-50.0119,290.57,64,18,1.09
75,Pacific Grove,US,2022-11-10 22:54:41,36.6177,-121.9166,290.05,65,0,4.92
76,Beringovskiy,RU,2022-11-10 22:54:42,63.05,179.3167,262.41,74,5,2.48
77,Busselton,AU,2022-11-10 22:54:42,-33.65,115.3333,285.69,66,60,7.31
78,Port Alfred,ZA,2022-11-10 22:54:42,-33.5906,26.891,290.47,83,100,2.24
79,Douentza,ML,2022-11-10 22:54:42,14.9951,-2.9517,298.26,14,2,1.68
80,Burnie,AU,2022-11-10 22:54:43,-41.0667,145.9167,288.65,96,100,3.55
81,Kerema,PG,2022-11-10 22:54:43,-7.9631,145.7785,300.57,75,99,2.21
82,Port Hardy,CA,2022-11-10 22:54:43,50.6996,-127.4199,278.25,81,100,10.8
83,Timbiqui,CO,2022-11-10 22:54:44,2.7717,-77.6654,297.06,90,97,2.6
84,Narsaq,GL,2022-11-10 22:54:44,60.9167,-46.05,267.5,96,100,1.14
85,Duldurga,RU,2022-11-10 22:54:44,50.6761,113.5931,265.98,78,41,5.05
86,Lata,PT,2022-11-10 22:54:44,40.1629,-8.3327,285.41,84,1,1.51
87,Hithadhoo,MV,2022-11-10 22:54:45,-0.6,73.0833,300.23,78,44,5.92
88,Ribeira Grande,PT,2022-11-10 22:54:45,38.5167,-28.7,288.58,79,100,1.79
89,Georgetown,MY,2022-11-10 22:54:45,5.4112,100.3354,299.2,91,20,3.09
90,Noyabrsk,RU,2022-11-10 22:55:45,63.1994,75.4507,254.93,100,66,2.18
91,Dalvik,IS,2022-11-10 22:55:46,65.9702,-18.5286,278.11,99,100,6.99
92,Lazaro Cardenas,MX,2022-11-10 22:55:46,17.9583,-102.2,300.69,77,8,5.1
93,Souillac,MU,2022-11-10 22:55:46,-20.5167,57.5167,296.36,78,40,1.54
94,Tasiilaq,GL,2022-11-10 22:55:47,65.6145,-37.6368,273.83,83,100,12.4
95,Yellowknife,CA,2022-11-10 22:50:45,62.456,-114.3525,263.46,79,100,5.14
96,Luganville,VU,2022-11-10 22:55:47,-15.5333,167.1667,302.76,70,12,3.12
97,Hilo,US,2022-11-10 22:55:47,19.7297,-155.09,301.07,73,2,1.34
98,Banepa,NP,2022-11-10 22:55:47,27.6298,85.5214,285.33,88,20,1.03
99,Neuquen,AR,2022-11-10 22:55:48,-38.9516,-68.0591,297.09,31,0,2.06
100,Chuy,UY,2022-11-10 22:51:15,-33.6971,-53.4616,289.66,93,39,4.1
101,Rizhao,CN,2022-11-10 22:55:48,35.4275,119.4553,289.83,91,100,2.04
102,Cap Malheureux,MU,2022-11-10 22:55:48,-19.9842,57.6142,295.63,72,16,0.45
103,Rusape,ZW,2022-11-10 22:55:49,-18.5278,32.1284,289.21,95,65,1.61
104,Bambous Virieux,MU,2022-11-10 22:55:49,-20.3428,57.7575,296.29,78,40,1.54
